model_label,segment_type,segment_value,count,r2,mae,rmse,mape,mdape
XGBoost_log1p,UnifiedSchoolDistrict,Mariposa County Unified,16.0,0.9037251418426185,46330.15125000001,55028.58482626451,9.414101298733911,8.213094984326027
XGBoost_log1p,UnifiedSchoolDistrict,Martinez Unified,23.0,0.8640899422292162,122117.43260869566,174726.8926936793,13.362526253521194,10.396666666666667
XGBoost_log1p,UnifiedSchoolDistrict,Mojave Unified,15.0,0.06049136760797902,32601.212000000003,42277.30518282167,10.364757732020646,10.327582608695653
XGBoost_log1p,UnifiedSchoolDistrict,Monrovia Unified,15.0,0.7885432683003811,183612.95999999996,227382.4195905754,14.01964363167687,11.797571929824555
XGBoost_log1p,UnifiedSchoolDistrict,Montebello Unified,27.0,0.7444095971569895,77014.54666666666,90494.4647972283,10.25891562267551,8.198912500000006
XGBoost_log1p,UnifiedSchoolDistrict,Monterey Peninsula Unified,31.0,0.5149698427500182,152393.39322580645,224280.18812887592,13.910394963127258,10.960307692307692
XGBoost_log1p,UnifiedSchoolDistrict,Moorpark Unified,20.0,0.9063331983443792,80204.12,148574.60019445693,7.11301570771784,5.791368594527362
XGBoost_log1p,UnifiedSchoolDistrict,Moreno Valley Unified,86.0,0.5950366050353229,35173.812209302334,49160.75553665709,6.453961635760239,5.561045734221336
XGBoost_log1p,UnifiedSchoolDistrict,Morgan Hill Unified,28.0,0.7479712329879398,247200.70178571428,396321.7797899519,11.658612165901243,9.141017055638411
XGBoost_log1p,UnifiedSchoolDistrict,Morongo Unified,72.0,0.6296475325882561,79990.12958333333,107358.26081409883,17.86396825965122,14.782314644808745
XGBoost_log1p,UnifiedSchoolDistrict,Mt. Diablo Unified,144.0,0.7854364250854169,118135.42430555557,178013.68561855596,10.848271282071968,8.02213481012658
XGBoost_log1p,UnifiedSchoolDistrict,Murrieta Valley Unified,104.0,0.7928098365893417,90917.58673076922,174078.65124903628,8.889846774015927,5.718417467105261
